player_id,gsis_id,name,position,pro_team
4047650,00-0035640,DK Metcalf,,
4048228,00-0036628,John Bates,,
4050373,00-0036271,Quez Watkins,,
4051167,00-0037542,Parker Romo,,
4057082,00-0036176,Mason Kinsey,,
4061956,00-0035021,Ashton Dulin,,
4212909,00-0033589,David Moore,,
4239086,00-0038122,Desmond Ridder,,
4239934,00-0036265,AJ Dillon,,
4239944,00-0037004,Hunter Long,,
4239993,00-0036410,Tee Higgins,,
4239996,00-0036973,Travis Etienne Jr.,,
4240021,00-0036414,Cam Akers,,
4240391,00-0038476,Tommy DeVito,,
4240472,00-0036637,Noah Gray,,
4240600,00-0036913,Kadarius Toney,,
4240603,00-0037563,Malik Davis,,
4240631,00-0036425,DeeJay Dallas,,
4240657,00-0036924,Michael Carter,,
4240703,00-0038102,Kenny Pickett,,
4240911,00-0039617,Jacob Kibodi,,
4241263,00-0038046,Charlie Kolar,,
4241372,00-0035662,Hollywood Brown,,
4241374,00-0037086,Grant Calcaterra,,
4241389,00-0036358,CeeDee Lamb,,
4241410,00-0037755,Jelani Woods,,
4241416,00-0036555,Chuba Hubbard,,
4241424,00-0036630,Tylan Wallace,,
4241457,00-0036893,Najee Harris,,
4241463,00-0036407,Jerry Jeudy,,
4241464,00-0036972,Mac Jones,,
4241474,00-0037746,Brian Robinson Jr.,,
4241476,00-0038679,Tyrell Shavers,,
4241478,00-0036912,DeVonta Smith,,
4241479,00-0036212,Tua Tagovailoa,,
4241555,00-0036567,Elijah Mitchell,,
4241961,00-0037304,Connor Heyward,,
4241983,00-0035891,Cody White,,
4241985,00-0036158,J.K. Dobbins,,
4242214,00-0036360,Clyde Edwards-Helaire,,
4242335,00-0036223,Jonathan Taylor,,
4242355,00-0038041,Jake Ferguson,,
4242392,00-0036754,Brock Wright,,
4242431,00-0037276,Ty Chandler,,
4242433,00-0036988,Joshua Palmer,,
4242512,00-0038128,Malik Willis,,
4242526,00-0038920,John Samuel Shenker,,
4242536,00-0037015,Sal Cannella,,
4242540,00-0036165,Isaiah Hodgins,,
4242546,00-0036898,Davis Mills,,
4242557,00-0036244,Colby Parkinson,,
4243003,00-0037557,Ronnie Rivers,,
4243315,00-0036020,Salvon Ahmed,,
4243331,00-0038129,Cade Otton,,
4243371,00-0036816,Riley Patterson,,
4243389,00-0037837,Calvin Austin III,,
4245645,00-0036569,Gary Brightwell,,
4245661,00-0038152,Lucas Havrisik,,
4248528,00-0038124,Christian Watson,,
4249087,00-0035269,Matt Gay,,
4249417,00-0037666,Jalen Tolbert,,
4249836,00-0038098,Pierre Strong Jr.,,
4250360,00-0038108,Bailey Zappe,,
4257188,00-0038576,Charlie Jones,,
4257364,00-0038440,Zavier Scott,,
4258173,00-0036554,Nico Collins,,
4258595,00-0036290,Cole Kmet,,
4258620,00-0038428,Andre Szmyt,,
4259147,00-0037112,Jake Tonges,,
4259305,00-0037091,Bo Melton,,
4259545,00-0036275,D'Andre Swift,,
4259553,00-0039107,Stetson Bennett IV,,
4259619,00-0038905,Blake Grupe,,
4260394,00-0038579,Aidan O'Connell,,
4262921,00-0036322,Justin Jefferson,,
4360078,00-0037664,Alec Pierce,,
4360086,00-0038589,Josh Whyle,,
4360234,00-0036854,Evan McPherson,,
4360238,00-0037258,Dameon Pierce,,
4360248,00-0036970,Kyle Pitts Sr.,,
4360294,00-0036328,Antonio Gibson,,
4360310,00-0036971,Trevor Lawrence,,
4360405,00-0038752,Jake Bobo,,
4360423,00-0039917,Michael Penix Jr.,,
4360438,00-0036261,Brandon Aiyuk,,
4360516,00-0039384,Tyrone Tracy Jr.,,
4360569,00-0037525,Jordan Mason,,
4360635,00-0037809,Chig Okonkwo,,
4360637,00-0039710,Jeshaun Jones,,
4360689,00-0040743,Tyler Shough,,
4360698,00-0039398,Joe Milton III,,
4360761,00-0038559,Michael Wilson,,
4360763,00-0038840,Brycen Tremayne,,
4360797,00-0036849,Tutu Atwell,,
4360799,00-0039797,Jordan Travis,,
4360939,00-0036550,Rashod Bateman,,
